CommentId,Comment Link,CommentScore,CommenterId,PostId,Post Link,Text,Title,PostTypeId,PostCreationDate,CommentCreationDate,CommenterRep,PosterRep
"85036912","85036912","0","95","48988800","48988800","The example commands use different $IFP... variables. Do they contain identical values?","PMCMD Stop workflow","1","2018-02-26 12:43:21","2018-02-27 18:58:54","13749","26"
"85029414","85029414","0","95","48988800","48988800","According to [KB 103421](https://kb.informatica.com/solution/11/Pages/103421.aspx) this error means that one of the mandatory options is not provided. Did you try to use `-wfrunid`?","PMCMD Stop workflow","1","2018-02-26 12:43:21","2018-02-27 15:35:52","13749","26"
"84844750","84844750","0","267","48919200","48919200","And how did you expect it to behave? Add links to the other pages from your readme file. Here is another page - https://inquisitivedev2016.github.io/Photo%20Website/AboutMe - so you just need to link it up.","GitHub pages only showing ReadMe file?","1","2018-02-22 03:31:44","2018-02-22 03:38:01","273622","13"
"85011940","85011940","0","476","49003500","49003500","Where exactly would you get the timezone information from? Do you expect for it to adjust automagically, or do you have a timezone name or offset from the user somewhere?","Get the Time in "" Ago"" form according to respective time regions using date and time from DB","1","2018-02-27 07:40:38","2018-02-27 08:00:33","372476","17"
"85012670","85012670","0","476","49003500","49003500","Then your first issue is to automagically detect the user's timezone, which is something of a problem. You could try to detect the browser's timezone using Javascript, but that's going to be asynchronous and won't be available on the first request. You could try geolocation via IP, but that's not terribly reliable or accurate. Your best bet is to ask the user for their preferred timezone, or to render it in the browser using Javascript and local browser information.","Get the Time in "" Ago"" form according to respective time regions using date and time from DB","1","2018-02-27 07:40:38","2018-02-27 08:25:24","372476","17"
"84461956","84461956","2","543","48730050","48730050","This is the only right answer. Don't hack private view hierarchies. It's funny how SO is now a bad answer marked ""accepted"" and then 500 ""me too"" clones in different versions of Swift and Objective-C, but only @catlan is illustrating how the hacks will break in _future_ versions of UIKit.","","2","2018-02-11 09:23:10","2018-02-11 12:24:08","14558","18426"
"84306707","84306707","0","1338","48653850","48653850","where are you calling GetPrice()?  Have you tried stepping through your code in the debugger?","Entering data into an observable collection","1","2018-02-06 23:55:54","2018-02-07 00:55:00","46433","65"
"84390736","84390736","0","2988","48694800","48694800","What is the code you are having trouble with? What trouble do you have with your code? Do you get an error message? What is the error message? Is the result you are getting not the result you are expecting? What result do you expect and why, what is the result you are getting and how do the two differ? Is the behavior you are observing not the desired behavior? What is the desired behavior and why, what is the observed behavior, and in what way do they differ? Please, provide a [mcve].","scala how do you group elements in a map","1","2018-02-08 21:07:47","2018-02-08 22:43:23","277849","21"
"84390748","84390748","0","2988","48694800","48694800","Can you provide a *precise* specification of what it is that you want to happen, including any and all rules, exceptions from those rules, corner cases, special cases, boundary cases, and edge cases? Can you provide sample inputs and outputs demonstrating what you expect to happen, both in normal cases, and in all the exceptions, corner cases, special cases, boundary cases, and edge cases? Please, also make sure to provide a [mcve].","scala how do you group elements in a map","1","2018-02-08 21:07:47","2018-02-08 22:43:37","277849","21"
"84741711","84741711","0","3225","48868950","48868950","if the user is typing in the time, you probably need to be more careful than bit shifting. it's not clear that the format of time is to me at least. And nothing to make sure they type only digits, hex, decmial, 24 or 12 hour clock, AM/PM,etc..","Extracting hours, minutes and seconds from binary encoding","1","2018-02-19 15:08:02","2018-02-19 15:16:07","13455","18"
"84630283","84630283","0","3850","48813300","48813300","Possible duplicate of [Python readline() is not reading a line with single space](https://stackoverflow.com/questions/34827263/python-readline-is-not-reading-a-line-with-single-space)","Why is ""B"" not equal to ""B""?","1","2018-02-15 17:42:59","2018-02-15 17:49:32","27077","42"
"84579724","84579724","0","4323","48786450","48786450","What if you run two copies of the program with INTERFACES=1?  You'd want to set CPU affinity to two different cores.","Can't reach full line rate on two 10Gbps interfaces simultaneously","1","2018-02-14 11:46:08","2018-02-14 14:02:01","136321","28"
"84343922","84343922","0","4333","48672450","48672450","What are the values you get for {height, width} when getting them that way? Are they always the same? Does this affect iOS, Android, or both?","React Native exported Dimension height and width are small","1","2018-02-07 20:11:04","2018-02-07 20:37:58","26390","514"
"84286191","84286191","0","6509","48644550","48644550","Any use? https://flywaydb.org/documentation/plugins/grails","I want to maintain log file for changes made in database","1","2018-02-06 13:44:58","2018-02-06 13:57:44","125968","5"
"84426180","84426180","1","6509","48712800","48712800","Have you considered using the API provided by Apache to read the files rather than trying to invent your own? https://incubator.apache.org/odftoolkit/simple/index.html This class looks interesting https://incubator.apache.org/odftoolkit/0.6.2-incubating/simple/org/odftoolkit/simple/common/TextExtractor.html  Never tried it, but might save you some time wrangling xml","OpenDocument format: parse & split text by lines","1","2018-02-09 19:25:43","2018-02-09 20:24:06","125968","3142"
"84319825","84319825","0","6782","48661200","48661200","and don't forget to `wait()` for *all* of the children.","","2","2018-02-07 10:17:59","2018-02-07 10:20:31","258882","9237"
"84319948","84319948","0","6782","48661200","48661200","you also need to ensure that each child does actually explicitly `exit()`  (or `return` after the call to `task_child`) otherwise the child processes' flow of execution will continue after the `switch`.","","2","2018-02-07 10:17:59","2018-02-07 10:23:27","258882","9237"
"84320508","84320508","0","6782","48661200","48661200","probably, yes.  The `return` is only OK if you're in `main` where it's equivalent to an implicit exit.","","2","2018-02-07 10:17:59","2018-02-07 10:35:46","258882","9237"
"84668340","84668340","0","7426","48831750","48831750","To be fair, a small *API* doesn't necessarily mean a small *library*. It just means that library doesn't *export* very much.","Unbuffered input manager in Go?","1","2018-02-16 17:10:57","2018-02-16 17:37:24","14232","57"
"84386664","84386664","0","7552","48694050","48694050","Note that I'm not really a python guy, so this may not be the best style.","","2","2018-02-08 20:15:44","2018-02-08 20:18:54","156022","156022"
"84593405","84593405","1","7552","48792750","48792750","Do you want to do stuff between lines 33 and 36? Is that why you are using NR in the condition part?","how to add specific rows using Unix script","1","2018-02-14 17:12:35","2018-02-14 20:20:47","156022","38"
